"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC_03","TYPE_LABEL_EN","TYPE_LABEL_FR","EQUIP_TYPE_LABEL_EN","EQUIP_TYPE_LABEL_FR","U_TYPE_LABEL_EN","U_TYPE_LABEL_FR","L_TYPE_LABEL_EN","L_TYPE_LABEL_FR","U_COOK_METH_LABEL_EN","U_COOK_METH_LABEL_FR","L_COOK_METH_LABEL_EN","L_COOK_METH_LABEL_FR","U_USABLE_SPACE","L_USABLE_SPACE","NOMINAL_WIDTH_LABEL_EN","NOMINAL_WIDTH_LABEL_FR"
14980686,"790-4844","Kenmore",259,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",84,84,"27","27"
14980687,"E30EW85","Electrolux",369,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",104,104,"30","30"
14980711,"AWO6313","Amana",454,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",127,,"30","30"
14980712,"AWO6317","Amana",422,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",111,,"27","27"
14981018,"H6560BP","Miele",235,"Wall-mounted","Mural","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",66,,"24","24"
14981019,"H6660BP","Miele",235,"Wall-mounted","Mural","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",66,,"24","24"
14982317,"DGC6500-1","Miele",208,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",43,,"-","-"
14982318,"DGC6600-1","Miele",208,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",43,,"-","-"
14982319,"DGC6700-1","Miele",208,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",43,,"-","-"
14982320,"DGC6705-1","Miele",208,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",43,,"-","-"
14982321,"DGC6800-1","Miele",208,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",43,,"-","-"
14982322,"DGC6805-1","Miele",208,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",43,,"-","-"
14985409,"AN-2300","Ancona",206,"Wall-mounted","Mural","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",57.1,0,"23.375","23.375"
14985410,"AN-2301","Ancona",203,"Wall-mounted","Mural","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",57.1,0,"23.375","23.375"
15198939,"KEBS207+#","KitchenAid",345,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",120,120,"30","30"
15201088,"KEBS109E","KitchenAid",397,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",120,,"30","30"
15201089,"KEBS209E","KitchenAid",397,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",120,120,"30","30"
15799742,"WOS97ES0ES","Whirlpool",366,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",120,,"30","30"
15799743,"WOD97ES0ES","Whirlpool",343,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",120,120,"30","30"
15799744,"KEBS207E","KitchenAid",397,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",120,120,"30","30"
16305122,"F1SM24S2","Fulgor Milano",206,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",54.7,,"24","24"
16604527,"LSWS306ST","LG",415,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",113.4,,"30","30"
16604528,"LWS3063ST","LG",415,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",113.4,,"30","30"
16682067,"MEW9530","Maytag",438,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",119,,"30","30"
16682068,"MEW9527","Maytag",410,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",105,,"27","27"
16682069,"WOS92EC0","Whirlpool",438,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",119,,"30","30"
16682070,"WOS92EC7","Whirlpool",410,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",105,,"27","27"
16682071,"MEW9630","Maytag",446,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",119,127,"30","30"
16682072,"MEW9627","Maytag",415,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",104,112,"27","27"
16682073,"WOD93EC0","Whirlpool",446,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",119,127,"30","30"
16682074,"WOD93EC7","Whirlpool",415,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",104,112,"27","27"
16682075,"KOCE507E","KitchenAid",410,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",105,,"27","27"
17695665,"HBL57M52UC","Bosch",331,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",96.54,0,"30","30"
17695666,"HBL87M52UC","Bosch",318,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",96.54,0,"30","30"
17695667,"HBL8752UC","Bosch",339,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",96.54,0,"30","30"
17695668,"HBLP752UC","Bosch",339,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",96.54,0,"30","30"
17699205,"FFEW2415","Frigidaire",177,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",59,,"24","24"
17699206,"FFEW2425","Frigidaire",195,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Non self-cleaning","Non autonettoyante","Normal bake","Cuisson normale","-","-",59,59,"24","24"
17699207,"790-4027","Kenmore",177,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",59,,"24","24"
17699208,"790-4028","Kenmore",195,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Non self-cleaning","Non autonettoyante","Normal bake","Cuisson normale","-","-",59,59,"24","24"
17699209,"790-4025","Kenmore",221,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake","Cuisson normale","-","-",59,,"24","24"
17967601,"WOC54EC0","Whirlpool",330,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",120,,"30","30"
17967602,"WOC54EC7","Whirlpool",297,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",102,,"27","27"
18443082,"MEW7630D","Maytag",324,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",120,120,"30","30"
18443083,"JJW2327W","Jenn-Air",317,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",85,,"27","27"
18443084,"JJW2427W","Jenn-Air",317,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",85,,"27","27"
18443085,"JJW2827W","Jenn-Air",316,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",85,85,"27","27"
18443086,"JJW2330W","Jenn-Air",344,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",111,,"30","30"
18443087,"JJW2430W","Jenn-Air",344,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",111,,"30","30"
18443088,"JJW3430W","Jenn-Air",344,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",111,,"30","30"
18443089,"JJW2830W","Jenn-Air",342,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",111,111,"30","30"
18443090,"JJW3830W","Jenn-Air",342,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",111,111,"30","30"
18443091,"MEW7530D","Maytag",330,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",120,,"30","30"
18443092,"MEW7527D","Maytag",297,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",102,,"27","27"
18443093,"WOS51EC0A","Whirlpool",330,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",120,,"30","30"
18443094,"WOS51EC7A","Whirlpool",297,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",102,,"27","27"
18443095,"KEBS209B","KitchenAid",345,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",120,120,"30","30"
18443096,"KEBC147*","KitchenAid",344,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",73,,"24","24"
18443097,"KOCE500E","KitchenAid",397,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",120,,"30","30"
18443098,"JMW2430*","Jenn-Air",344,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",111,,"30","30"
18443099,"MMW7730D","Maytag",330,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",120,,"30","30"
18443100,"WOC95EC0A","Whirlpool",438,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",119,,"30","30"
18443101,"WOD51EC0A","Whirlpool",324,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",120,120,"30","30"
18443102,"WOD51EC7A","Whirlpool",319,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",102,102,"27","27"
18443103,"JJW3430*","Jenn-Air",403,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",111,,"30","30"
18443104,"JJW3830*","Jenn-Air",403,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",111,111,"30","30"
18443105,"KODC304E","KitchenAid",310,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",79,65,"24","24"
18443106,"KOSC504E","KitchenAid",342,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",79,,"24","24"
18443107,"WOD51ES4E","Whirlpool",316,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Non self-cleaning","Non autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",66,66,"24","24"
18443108,"WOS51ES4E","Whirlpool",297,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",66,,"24","24"
18443109,"WOS11EM4E","Whirlpool",307,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake","Cuisson normale","-","-",66,,"24","24"
18443110,"MEW7627D","Maytag",319,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",102,102,"27","27"
18443111,"AWO6317SF","Amana",422,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",111,,"27","27"
18443112,"AWO6313SF","Amana",454,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake","Cuisson normale","-","-",127,,"30","30"
18443113,"WOC97ES0E","Whirlpool",366,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",120,,"30","30"
18443114,"MEW9530*","Maytag",438,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",119,,"30","30"
18443115,"WOS92EC0A","Whirlpool",438,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",119,,"30","30"
18443116,"WOS92EC7*","Whirlpool",410,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",105,,"27","27"
18443117,"MEW9630*","Maytag",446,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",119,127,"30","30"
18443118,"WOD93EC0A","Whirlpool",446,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",119,127,"30","30"
18443119,"WOD93EC7A","Whirlpool",415,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",105,111,"27","27"
18443120,"MMW9727*","Maytag",410,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",105,,"27","27"
18443121,"MMW9730*","Maytag",438,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",119,,"30","30"
19248081,"F1SM24S3","Fulgor Milano",206,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",54.7,,"24","24"
19248082,"F1SM30S1","Fulgor Milano",266,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",71.8,,"30","30"
19248083,"F1SP24S2","Fulgor Milano",239,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",58.6,,"24","24"
19248084,"F1SP30S1","Fulgor Milano",301,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",71.8,,"30","30"
19248085,"F4SP30S1","Fulgor Milano",334,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",103.7,,"30","30"
19248086,"F7SP30S1","Fulgor Milano",361,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",103.8,,"30","30"
19248087,"F7SP30B1","Fulgor Milano",361,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",103.8,,"30","30"
19248088,"F7SP30W1","Fulgor Milano",361,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",103.8,,"30","30"
19248089,"F6PSP30S1","Fulgor Milano",344,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",103.8,,"30","30"
19248090,"F7DP30S1","Fulgor Milano",359,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",103.8,103.8,"30","30"
19248091,"F7DP30B1","Fulgor Milano",359,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",103.8,103.8,"30","30"
19248092,"F7DP30W1","Fulgor Milano",359,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",103.8,103.8,"30","30"
19248093,"F6PDP30S1","Fulgor Milano",364,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",103.8,103.8,"30","30"
